first,last,party,id,votes,avotes,electoral,winner,incumbent,percent,state,fips,rating
Joe,Biden,Dem,1036,37765,0,,,,0.4205,AL,01125,likely-r
Jo,Jorgensen,Lib,67957,927,0,,,,0.0103,AL,01125,likely-r
Donald,Trump,GOP,8639,26002,0,9.0,X,True,0.8357,AL,01127,likely-r
Joe,Biden,Dem,1036,4834,0,,,,0.1554,AL,01127,likely-r
Jo,Jorgensen,Lib,67957,277,0,,,,0.0089,AL,01127,likely-r
Donald,Trump,GOP,8639,6564,452,9.0,X,True,0.7403,AL,01129,likely-r
Joe,Biden,Dem,1036,2258,282,,,,0.2547,AL,01129,likely-r
Jo,Jorgensen,Lib,67957,45,6,,,,0.0051,AL,01129,likely-r
Joe,Biden,Dem,1036,4048,0,,,,0.6863,AL,01131,likely-r
Donald,Trump,GOP,8639,1833,0,9.0,X,True,0.3108,AL,01131,likely-r
Jo,Jorgensen,Lib,67957,17,0,,,,0.0029,AL,01131,likely-r
Donald,Trump,GOP,8639,10195,0,9.0,X,True,0.9045,AL,01133,likely-r
Joe,Biden,Dem,1036,974,0,,,,0.0864,AL,01133,likely-r
Jo,Jorgensen,Lib,67957,102,0,,,,0.009,AL,01133,likely-r
Donald,Trump,GOP,8639,189951,0,,X,True,0.5312,AK,02000,likely-r
Joe,Biden,Dem,1036,153778,0,,,,0.4301,AK,02000,likely-r
Jo,Jorgensen,Lib,67957,8897,0,,,,0.0249,AK,02000,likely-r
Jesse,Ventura,Grn,26932,2673,0,,,,0.0075,AK,02000,likely-r
Don,Blankenship,CST,66288,1127,0,,,,0.0032,AK,02000,likely-r
Brock,Pierce,PEC,69341,825,0,,,,0.0023,AK,02000,likely-r
Roque,De La Fuente,ALP,64542,318,0,,,,0.0009,AK,02000,likely-r
Joe,Biden,Dem,1036,23293,0,,X,,0.6623,AZ,04001,toss-up
Donald,Trump,GOP,8639,11442,0,,,True,0.3253,AZ,04001,toss-up
