first,last,party,id,votes,avotes,electoral,winner,incumbent,percent,state,fips,rating
Donald,Trump,GOP,8639,50013,36665,,,True,0.6207,GA,13073,toss-up
Joe,Biden,Dem,1036,29232,24191,16.0,X,,0.3628,GA,13073,toss-up
Jo,Jorgensen,Lib,67957,1330,816,,,,0.0165,GA,13073,toss-up
Donald,Trump,GOP,8639,4900,3787,,,True,0.6965,GA,13075,toss-up
Joe,Biden,Dem,1036,2059,1520,16.0,X,,0.2927,GA,13075,toss-up
Jo,Jorgensen,Lib,67957,76,50,,,,0.0108,GA,13075,toss-up
Donald,Trump,GOP,8639,51501,33224,,,True,0.6706,GA,13077,toss-up
Joe,Biden,Dem,1036,24210,18866,16.0,X,,0.3152,GA,13077,toss-up
Jo,Jorgensen,Lib,67957,1088,587,,,,0.0142,GA,13077,toss-up
Donald,Trump,GOP,8639,4428,3275,,,True,0.7257,GA,13079,toss-up
Joe,Biden,Dem,1036,1615,1351,16.0,X,,0.2647,GA,13079,toss-up
Jo,Jorgensen,Lib,67957,59,38,,,,0.0097,GA,13079,toss-up
Donald,Trump,GOP,8639,4985,4005,,,True,0.6206,GA,13081,toss-up
Joe,Biden,Dem,1036,2982,2409,16.0,X,,0.3712,GA,13081,toss-up
Jo,Jorgensen,Lib,67957,66,43,,,,0.0082,GA,13081,toss-up
Donald,Trump,GOP,8639,6066,4049,,,True,0.816,GA,13083,toss-up
Joe,Biden,Dem,1036,1261,1017,16.0,X,,0.1696,GA,13083,toss-up
Jo,Jorgensen,Lib,67957,107,56,,,,0.0144,GA,13083,toss-up
Donald,Trump,GOP,8639,13398,11059,,,True,0.8332,GA,13085,toss-up
Joe,Biden,Dem,1036,2486,2232,16.0,X,,0.1546,GA,13085,toss-up
Jo,Jorgensen,Lib,67957,197,134,,,,0.0123,GA,13085,toss-up
Donald,Trump,GOP,8639,6755,5282,,,True,0.5811,GA,13087,toss-up
Joe,Biden,Dem,1036,4782,3984,16.0,X,,0.4114,GA,13087,toss-up
Jo,Jorgensen,Lib,67957,88,68,,,,0.0076,GA,13087,toss-up
Joe,Biden,Dem,1036,308162,270804,16.0,X,,0.8312,GA,13089,toss-up
Donald,Trump,GOP,8639,58377,45893,,,True,0.1575,GA,13089,toss-up
Jo,Jorgensen,Lib,67957,4207,3039,,,,0.0113,GA,13089,toss-up
Donald,Trump,GOP,8639,5843,3504,,,True,0.7239,GA,13091,toss-up
Joe,Biden,Dem,1036,2172,1620,16.0,X,,0.2691,GA,13091,toss-up
Jo,Jorgensen,Lib,67957,56,21,,,,0.0069,GA,13091,toss-up
Donald,Trump,GOP,8639,2159,1691,,,True,0.5259,GA,13093,toss-up
Joe,Biden,Dem,1036,1911,1426,16.0,X,,0.4655,GA,13093,toss-up
Jo,Jorgensen,Lib,67957,35,25,,,,0.0085,GA,13093,toss-up
Joe,Biden,Dem,1036,24568,17170,16.0,X,,0.6962,GA,13095,toss-up
Donald,Trump,GOP,8639,10441,6168,,,True,0.2959,GA,13095,toss-up
Jo,Jorgensen,Lib,67957,278,143,,,,0.0079,GA,13095,toss-up
Joe,Biden,Dem,1036,42814,36803,16.0,X,,0.6195,GA,13097,toss-up
Donald,Trump,GOP,8639,25454,20574,,,True,0.3683,GA,13097,toss-up
Jo,Jorgensen,Lib,67957,838,576,,,,0.0121,GA,13097,toss-up
Donald,Trump,GOP,8639,2710,1908,,,True,0.5224,GA,13099,toss-up
Joe,Biden,Dem,1036,2450,1804,16.0,X,,0.4722,GA,13099,toss-up
Jo,Jorgensen,Lib,67957,28,21,,,,0.0054,GA,13099,toss-up
Donald,Trump,GOP,8639,1256,1030,,,True,0.8716,GA,13101,toss-up
Joe,Biden,Dem,1036,167,134,16.0,X,,0.1159,GA,13101,toss-up
Jo,Jorgensen,Lib,67957,18,14,,,,0.0125,GA,13101,toss-up
Donald,Trump,GOP,8639,23361,15994,,,True,0.74,GA,13103,toss-up
Joe,Biden,Dem,1036,7718,5954,16.0,X,,0.2445,GA,13103,toss-up
Jo,Jorgensen,Lib,67957,492,259,,,,0.0156,GA,13103,toss-up
Donald,Trump,GOP,8639,6226,4389,,,True,0.6789,GA,13105,toss-up
Joe,Biden,Dem,1036,2879,2350,16.0,X,,0.3139,GA,13105,toss-up
Jo,Jorgensen,Lib,67957,66,36,,,,0.0072,GA,13105,toss-up
Donald,Trump,GOP,8639,6553,4023,,,True,0.6894,GA,13107,toss-up
Joe,Biden,Dem,1036,2886,2044,16.0,X,,0.3036,GA,13107,toss-up
Jo,Jorgensen,Lib,67957,66,29,,,,0.0069,GA,13107,toss-up
Donald,Trump,GOP,8639,2888,2417,,,True,0.68,GA,13109,toss-up
Joe,Biden,Dem,1036,1324,1088,16.0,X,,0.3117,GA,13109,toss-up
Jo,Jorgensen,Lib,67957,35,23,,,,0.0082,GA,13109,toss-up
Donald,Trump,GOP,8639,12169,7983,,,True,0.8195,GA,13111,toss-up
Joe,Biden,Dem,1036,2570,2186,16.0,X,,0.1731,GA,13111,toss-up
Jo,Jorgensen,Lib,67957,110,67,,,,0.0074,GA,13111,toss-up
Donald,Trump,GOP,8639,37956,31547,,,True,0.5272,GA,13113,toss-up
Joe,Biden,Dem,1036,33062,29592,16.0,X,,0.4592,GA,13113,toss-up
Jo,Jorgensen,Lib,67957,976,695,,,,0.0136,GA,13113,toss-up
Donald,Trump,GOP,8639,28906,20887,,,True,0.6992,GA,13115,toss-up
Joe,Biden,Dem,1036,11917,9720,16.0,X,,0.2883,GA,13115,toss-up
Jo,Jorgensen,Lib,67957,518,314,,,,0.0125,GA,13115,toss-up
Donald,Trump,GOP,8639,85123,75353,,,True,0.6583,GA,13117,toss-up
Joe,Biden,Dem,1036,42208,38813,16.0,X,,0.3264,GA,13117,toss-up
Jo,Jorgensen,Lib,67957,1980,1564,,,,0.0153,GA,13117,toss-up
Donald,Trump,GOP,8639,9069,6768,,,True,0.8425,GA,13119,toss-up
Joe,Biden,Dem,1036,1593,1244,16.0,X,,0.148,GA,13119,toss-up
Jo,Jorgensen,Lib,67957,103,71,,,,0.0096,GA,13119,toss-up
Joe,Biden,Dem,1036,380212,342542,16.0,X,,0.7259,GA,13121,toss-up
Donald,Trump,GOP,8639,137247,117848,,,True,0.262,GA,13121,toss-up
Jo,Jorgensen,Lib,67957,6320,4882,,,,0.0121,GA,13121,toss-up
Donald,Trump,GOP,8639,13429,9046,,,True,0.8126,GA,13123,toss-up
Joe,Biden,Dem,1036,2932,2479,16.0,X,,0.1774,GA,13123,toss-up
Jo,Jorgensen,Lib,67957,164,99,,,,0.0099,GA,13123,toss-up
Donald,Trump,GOP,8639,1402,999,,,True,0.8958,GA,13125,toss-up
Joe,Biden,Dem,1036,155,115,16.0,X,,0.099,GA,13125,toss-up
Jo,Jorgensen,Lib,67957,8,5,,,,0.0051,GA,13125,toss-up
Donald,Trump,GOP,8639,25617,20881,,,True,0.6101,GA,13127,toss-up
Joe,Biden,Dem,1036,15882,13706,16.0,X,,0.3783,GA,13127,toss-up
Jo,Jorgensen,Lib,67957,489,339,,,,0.0116,GA,13127,toss-up
Donald,Trump,GOP,8639,19405,12404,,,True,0.8074,GA,13129,toss-up
Joe,Biden,Dem,1036,4384,3380,16.0,X,,0.1824,GA,13129,toss-up
Jo,Jorgensen,Lib,67957,244,137,,,,0.0102,GA,13129,toss-up
Donald,Trump,GOP,8639,7034,4999,,,True,0.657,GA,13131,toss-up
Joe,Biden,Dem,1036,3619,2973,16.0,X,,0.338,GA,13131,toss-up
Jo,Jorgensen,Lib,67957,54,29,,,,0.005,GA,13131,toss-up
Donald,Trump,GOP,8639,7066,6221,,,True,0.6284,GA,13133,toss-up
Joe,Biden,Dem,1036,4087,3496,16.0,X,,0.3635,GA,13133,toss-up
Jo,Jorgensen,Lib,67957,91,70,,,,0.0081,GA,13133,toss-up
Joe,Biden,Dem,1036,241994,205789,16.0,X,,0.5845,GA,13135,toss-up
Donald,Trump,GOP,8639,166400,130880,,,True,0.4019,GA,13135,toss-up
Jo,Jorgensen,Lib,67957,5629,3867,,,,0.0136,GA,13135,toss-up
Donald,Trump,GOP,8639,16637,13988,,,True,0.8143,GA,13137,toss-up
Joe,Biden,Dem,1036,3562,3047,16.0,X,,0.1743,GA,13137,toss-up
Jo,Jorgensen,Lib,67957,232,168,,,,0.0114,GA,13137,toss-up
Donald,Trump,GOP,8639,64183,53017,,,True,0.7089,GA,13139,toss-up
Joe,Biden,Dem,1036,25033,21169,16.0,X,,0.2765,GA,13139,toss-up
Jo,Jorgensen,Lib,67957,1321,914,,,,0.0146,GA,13139,toss-up
Joe,Biden,Dem,1036,2976,2359,16.0,X,,0.7166,GA,13141,toss-up
Donald,Trump,GOP,8639,1154,885,,,True,0.2779,GA,13141,toss-up
Jo,Jorgensen,Lib,67957,23,11,,,,0.0055,GA,13141,toss-up
Donald,Trump,GOP,8639,12330,8011,,,True,0.8655,GA,13143,toss-up
Joe,Biden,Dem,1036,1791,1416,16.0,X,,0.1257,GA,13143,toss-up
Jo,Jorgensen,Lib,67957,125,70,,,,0.0088,GA,13143,toss-up
Donald,Trump,GOP,8639,14319,8714,,,True,0.7163,GA,13145,toss-up
Joe,Biden,Dem,1036,5457,4173,16.0,X,,0.273,GA,13145,toss-up
Jo,Jorgensen,Lib,67957,215,112,,,,0.0108,GA,13145,toss-up
Donald,Trump,GOP,8639,9465,7127,,,True,0.7436,GA,13147,toss-up
Joe,Biden,Dem,1036,3157,2597,16.0,X,,0.248,GA,13147,toss-up
Jo,Jorgensen,Lib,67957,106,63,,,,0.0083,GA,13147,toss-up
Donald,Trump,GOP,8639,4519,2877,,,True,0.8378,GA,13149,toss-up
Joe,Biden,Dem,1036,824,639,16.0,X,,0.1528,GA,13149,toss-up
Jo,Jorgensen,Lib,67957,51,30,,,,0.0095,GA,13149,toss-up
Joe,Biden,Dem,1036,73443,65102,16.0,X,,0.5971,GA,13151,toss-up
Donald,Trump,GOP,8639,48259,40034,,,True,0.3924,GA,13151,toss-up
Jo,Jorgensen,Lib,67957,1296,968,,,,0.0105,GA,13151,toss-up
Donald,Trump,GOP,8639,41540,29838,,,True,0.5551,GA,13153,toss-up
Joe,Biden,Dem,1036,32239,25837,16.0,X,,0.4308,GA,13153,toss-up
Jo,Jorgensen,Lib,67957,1059,633,,,,0.0142,GA,13153,toss-up
Donald,Trump,GOP,8639,3134,2475,,,True,0.7519,GA,13155,toss-up
Joe,Biden,Dem,1036,1008,780,16.0,X,,0.2418,GA,13155,toss-up
Jo,Jorgensen,Lib,67957,26,18,,,,0.0062,GA,13155,toss-up
Donald,Trump,GOP,8639,29502,24535,,,True,0.7831,GA,13157,toss-up
Joe,Biden,Dem,1036,7642,6588,16.0,X,,0.2028,GA,13157,toss-up
Jo,Jorgensen,Lib,67957,531,374,,,,0.0141,GA,13157,toss-up
Donald,Trump,GOP,8639,5822,4263,,,True,0.7616,GA,13159,toss-up
Joe,Biden,Dem,1036,1761,1465,16.0,X,,0.2304,GA,13159,toss-up
Jo,Jorgensen,Lib,67957,61,39,,,,0.008,GA,13159,toss-up
Donald,Trump,GOP,8639,4695,3277,,,True,0.8136,GA,13161,toss-up
Joe,Biden,Dem,1036,1028,780,16.0,X,,0.1781,GA,13161,toss-up
Jo,Jorgensen,Lib,67957,48,30,,,,0.0083,GA,13161,toss-up
Joe,Biden,Dem,1036,4058,3002,16.0,X,,0.5312,GA,13163,toss-up
Donald,Trump,GOP,8639,3537,2429,,,True,0.463,GA,13163,toss-up
Jo,Jorgensen,Lib,67957,44,25,,,,0.0058,GA,13163,toss-up
Donald,Trump,GOP,8639,2161,1579,,,True,0.6255,GA,13165,toss-up
Joe,Biden,Dem,1036,1266,973,16.0,X,,0.3664,GA,13165,toss-up
Jo,Jorgensen,Lib,67957,28,13,,,,0.0081,GA,13165,toss-up
Donald,Trump,GOP,8639,2850,2079,,,True,0.6951,GA,13167,toss-up
Joe,Biden,Dem,1036,1222,1013,16.0,X,,0.298,GA,13167,toss-up
Jo,Jorgensen,Lib,67957,28,19,,,,0.0068,GA,13167,toss-up
Donald,Trump,GOP,8639,9940,6943,,,True,0.6656,GA,13169,toss-up
Joe,Biden,Dem,1036,4882,4046,16.0,X,,0.3269,GA,13169,toss-up
Jo,Jorgensen,Lib,67957,112,66,,,,0.0075,GA,13169,toss-up
Donald,Trump,GOP,8639,6331,4578,,,True,0.6999,GA,13171,toss-up
Joe,Biden,Dem,1036,2620,2149,16.0,X,,0.2897,GA,13171,toss-up
Jo,Jorgensen,Lib,67957,94,54,,,,0.0104,GA,13171,toss-up
Donald,Trump,GOP,8639,2509,2028,,,True,0.7016,GA,13173,toss-up
Joe,Biden,Dem,1036,1019,815,16.0,X,,0.285,GA,13173,toss-up
Jo,Jorgensen,Lib,67957,48,35,,,,0.0134,GA,13173,toss-up
Donald,Trump,GOP,8639,14493,8830,,,True,0.6376,GA,13175,toss-up
Joe,Biden,Dem,1036,8074,6187,16.0,X,,0.3552,GA,13175,toss-up
Jo,Jorgensen,Lib,67957,164,102,,,,0.0072,GA,13175,toss-up
Donald,Trump,GOP,8639,12007,8949,,,True,0.7184,GA,13177,toss-up
Joe,Biden,Dem,1036,4558,3661,16.0,X,,0.2727,GA,13177,toss-up
Jo,Jorgensen,Lib,67957,149,87,,,,0.0089,GA,13177,toss-up
Joe,Biden,Dem,1036,13104,11436,16.0,X,,0.6125,GA,13179,toss-up
Donald,Trump,GOP,8639,7959,6255,,,True,0.372,GA,13179,toss-up
Jo,Jorgensen,Lib,67957,331,229,,,,0.0155,GA,13179,toss-up
Donald,Trump,GOP,8639,3173,2269,,,True,0.6837,GA,13181,toss-up
Joe,Biden,Dem,1036,1432,1165,16.0,X,,0.3086,GA,13181,toss-up
Jo,Jorgensen,Lib,67957,36,23,,,,0.0078,GA,13181,toss-up
Donald,Trump,GOP,8639,3527,2391,,,True,0.6235,GA,13183,toss-up
Joe,Biden,Dem,1036,2035,1650,16.0,X,,0.3597,GA,13183,toss-up
Jo,Jorgensen,Lib,67957,95,62,,,,0.0168,GA,13183,toss-up
Donald,Trump,GOP,8639,25692,20175,,,True,0.5542,GA,13185,toss-up
Joe,Biden,Dem,1036,20116,16945,16.0,X,,0.434,GA,13185,toss-up
Jo,Jorgensen,Lib,67957,547,371,,,,0.0118,GA,13185,toss-up
Donald,Trump,GOP,8639,12163,10160,,,True,0.7831,GA,13187,toss-up
Joe,Biden,Dem,1036,3126,2794,16.0,X,,0.2013,GA,13187,toss-up
Jo,Jorgensen,Lib,67957,242,179,,,,0.0156,GA,13187,toss-up
Joe,Biden,Dem,1036,2858,2163,16.0,X,,0.6129,GA,13193,toss-up
Donald,Trump,GOP,8639,1783,1434,,,True,0.3824,GA,13193,toss-up
Jo,Jorgensen,Lib,67957,22,12,,,,0.0047,GA,13193,toss-up
Donald,Trump,GOP,8639,11326,7821,,,True,0.7583,GA,13195,toss-up
Joe,Biden,Dem,1036,3411,2670,16.0,X,,0.2284,GA,13195,toss-up
Jo,Jorgensen,Lib,67957,200,117,,,,0.0134,GA,13195,toss-up
Donald,Trump,GOP,8639,2275,1516,,,True,0.6276,GA,13197,toss-up
Joe,Biden,Dem,1036,1312,1092,16.0,X,,0.3619,GA,13197,toss-up
Jo,Jorgensen,Lib,67957,38,26,,,,0.0105,GA,13197,toss-up
Donald,Trump,GOP,8639,6169,5343,,,True,0.5901,GA,13189,toss-up
Joe,Biden,Dem,1036,4168,3568,16.0,X,,0.3987,GA,13189,toss-up
Jo,Jorgensen,Lib,67957,118,78,,,,0.0113,GA,13189,toss-up
Donald,Trump,GOP,8639,4016,3205,,,True,0.5998,GA,13191,toss-up
Joe,Biden,Dem,1036,2612,2170,16.0,X,,0.3901,GA,13191,toss-up
Jo,Jorgensen,Lib,67957,68,34,,,,0.0102,GA,13191,toss-up
Donald,Trump,GOP,8639,6524,4292,,,True,0.5998,GA,13199,toss-up
Joe,Biden,Dem,1036,4287,3093,16.0,X,,0.3941,GA,13199,toss-up
Jo,Jorgensen,Lib,67957,66,41,,,,0.0061,GA,13199,toss-up
Donald,Trump,GOP,8639,2066,1533,,,True,0.729,GA,13201,toss-up
Joe,Biden,Dem,1036,748,574,16.0,X,,0.2639,GA,13201,toss-up
Jo,Jorgensen,Lib,67957,20,13,,,,0.0071,GA,13201,toss-up
Donald,Trump,GOP,8639,4935,3382,,,True,0.5507,GA,13205,toss-up
Joe,Biden,Dem,1036,3993,3172,16.0,X,,0.4455,GA,13205,toss-up
Jo,Jorgensen,Lib,67957,34,16,,,,0.0038,GA,13205,toss-up
Donald,Trump,GOP,8639,11057,8157,,,True,0.7092,GA,13207,toss-up
Joe,Biden,Dem,1036,4385,3889,16.0,X,,0.2813,GA,13207,toss-up
Jo,Jorgensen,Lib,67957,148,102,,,,0.0095,GA,13207,toss-up
Donald,Trump,GOP,8639,2960,1851,,,True,0.7462,GA,13209,toss-up
Joe,Biden,Dem,1036,980,730,16.0,X,,0.247,GA,13209,toss-up
Jo,Jorgensen,Lib,67957,27,15,,,,0.0068,GA,13209,toss-up
Donald,Trump,GOP,8639,8231,6362,,,True,0.7031,GA,13211,toss-up
Joe,Biden,Dem,1036,3353,2855,16.0,X,,0.2864,GA,13211,toss-up
Jo,Jorgensen,Lib,67957,122,72,,,,0.0104,GA,13211,toss-up
Donald,Trump,GOP,8639,12944,9051,,,True,0.8411,GA,13213,toss-up
Joe,Biden,Dem,1036,2301,1771,16.0,X,,0.1495,GA,13213,toss-up
Jo,Jorgensen,Lib,67957,144,94,,,,0.0094,GA,13213,toss-up
Joe,Biden,Dem,1036,49446,42841,16.0,X,,0.6141,GA,13215,toss-up
Donald,Trump,GOP,8639,30107,23562,,,True,0.3739,GA,13215,toss-up
Jo,Jorgensen,Lib,67957,961,656,,,,0.0119,GA,13215,toss-up
Joe,Biden,Dem,1036,29789,23023,16.0,X,,0.5493,GA,13217,toss-up
Donald,Trump,GOP,8639,23869,12963,,,True,0.4401,GA,13217,toss-up
Jo,Jorgensen,Lib,67957,576,287,,,,0.0106,GA,13217,toss-up
Donald,Trump,GOP,8639,16595,13912,,,True,0.6594,GA,13219,toss-up
Joe,Biden,Dem,1036,8162,7437,16.0,X,,0.3243,GA,13219,toss-up
Jo,Jorgensen,Lib,67957,411,298,,,,0.0163,GA,13219,toss-up
Donald,Trump,GOP,8639,5592,4529,,,True,0.6876,GA,13221,toss-up
Joe,Biden,Dem,1036,2439,2021,16.0,X,,0.2999,GA,13221,toss-up
Jo,Jorgensen,Lib,67957,102,75,,,,0.0125,GA,13221,toss-up
Donald,Trump,GOP,8639,54517,44761,,,True,0.6386,GA,13223,toss-up
Joe,Biden,Dem,1036,29695,25908,16.0,X,,0.3478,GA,13223,toss-up
Jo,Jorgensen,Lib,67957,1160,829,,,,0.0136,GA,13223,toss-up
Donald,Trump,GOP,8639,6506,5542,,,True,0.5183,GA,13225,toss-up
Joe,Biden,Dem,1036,5922,5107,16.0,X,,0.4718,GA,13225,toss-up
Jo,Jorgensen,Lib,67957,125,80,,,,0.01,GA,13225,toss-up
Donald,Trump,GOP,8639,14110,8109,,,True,0.8219,GA,13227,toss-up
Joe,Biden,Dem,1036,2824,2179,16.0,X,,0.1645,GA,13227,toss-up
Jo,Jorgensen,Lib,67957,233,98,,,,0.0136,GA,13227,toss-up
Donald,Trump,GOP,8639,7898,6691,,,True,0.873,GA,13229,toss-up
Joe,Biden,Dem,1036,1100,978,16.0,X,,0.1216,GA,13229,toss-up
Jo,Jorgensen,Lib,67957,49,35,,,,0.0054,GA,13229,toss-up
Donald,Trump,GOP,8639,9127,6783,,,True,0.8514,GA,13231,toss-up
Joe,Biden,Dem,1036,1505,1218,16.0,X,,0.1404,GA,13231,toss-up
Jo,Jorgensen,Lib,67957,88,61,,,,0.0082,GA,13231,toss-up
Donald,Trump,GOP,8639,13587,10726,,,True,0.781,GA,13233,toss-up
Joe,Biden,Dem,1036,3657,3045,16.0,X,,0.2102,GA,13233,toss-up
Jo,Jorgensen,Lib,67957,152,91,,,,0.0087,GA,13233,toss-up
Donald,Trump,GOP,8639,2815,2448,,,True,0.6898,GA,13235,toss-up
Joe,Biden,Dem,1036,1230,1052,16.0,X,,0.3014,GA,13235,toss-up
Jo,Jorgensen,Lib,67957,36,25,,,,0.0088,GA,13235,toss-up
Donald,Trump,GOP,8639,8291,6743,,,True,0.6994,GA,13237,toss-up
Joe,Biden,Dem,1036,3448,2978,16.0,X,,0.2908,GA,13237,toss-up
Jo,Jorgensen,Lib,67957,116,81,,,,0.0098,GA,13237,toss-up
Donald,Trump,GOP,8639,604,441,,,True,0.5461,GA,13239,toss-up
Joe,Biden,Dem,1036,497,333,16.0,X,,0.4494,GA,13239,toss-up
Jo,Jorgensen,Lib,67957,5,2,,,,0.0045,GA,13239,toss-up
Donald,Trump,GOP,8639,7474,6267,,,True,0.7811,GA,13241,toss-up
Joe,Biden,Dem,1036,1984,1785,16.0,X,,0.2074,GA,13241,toss-up
Jo,Jorgensen,Lib,67957,110,82,,,,0.0115,GA,13241,toss-up
Joe,Biden,Dem,1036,1671,1281,16.0,X,,0.5438,GA,13243,toss-up
Donald,Trump,GOP,8639,1390,1053,,,True,0.4523,GA,13243,toss-up
Jo,Jorgensen,Lib,67957,12,8,,,,0.0039,GA,13243,toss-up
Joe,Biden,Dem,1036,59119,47123,16.0,X,,0.6795,GA,13245,toss-up
Donald,Trump,GOP,8639,26780,18163,,,True,0.3078,GA,13245,toss-up
Jo,Jorgensen,Lib,67957,1110,680,,,,0.0128,GA,13245,toss-up
Joe,Biden,Dem,1036,31237,27672,16.0,X,,0.6991,GA,13247,toss-up
Donald,Trump,GOP,8639,13014,10472,,,True,0.2913,GA,13247,toss-up
Jo,Jorgensen,Lib,67957,430,304,,,,0.0096,GA,13247,toss-up
Donald,Trump,GOP,8639,1800,1495,,,True,0.7912,GA,13249,toss-up
Joe,Biden,Dem,1036,462,397,16.0,X,,0.2031,GA,13249,toss-up
Jo,Jorgensen,Lib,67957,13,9,,,,0.0057,GA,13249,toss-up
Donald,Trump,GOP,8639,3915,2645,,,True,0.5908,GA,13251,toss-up
Joe,Biden,Dem,1036,2661,2053,16.0,X,,0.4015,GA,13251,toss-up
Jo,Jorgensen,Lib,67957,51,27,,,,0.0077,GA,13251,toss-up
Donald,Trump,GOP,8639,2613,1669,,,True,0.6721,GA,13253,toss-up
Joe,Biden,Dem,1036,1256,962,16.0,X,,0.323,GA,13253,toss-up
Jo,Jorgensen,Lib,67957,19,4,,,,0.0049,GA,13253,toss-up
Donald,Trump,GOP,8639,18104,12338,,,True,0.5993,GA,13255,toss-up
Joe,Biden,Dem,1036,11828,8905,16.0,X,,0.3915,GA,13255,toss-up
Jo,Jorgensen,Lib,67957,279,135,,,,0.0092,GA,13255,toss-up
Donald,Trump,GOP,8639,9367,8133,,,True,0.7881,GA,13257,toss-up
Joe,Biden,Dem,1036,2386,2094,16.0,X,,0.2008,GA,13257,toss-up
Jo,Jorgensen,Lib,67957,132,99,,,,0.0111,GA,13257,toss-up
Joe,Biden,Dem,1036,1182,883,16.0,X,,0.594,GA,13259,toss-up
Donald,Trump,GOP,8639,801,567,,,True,0.4025,GA,13259,toss-up
Jo,Jorgensen,Lib,67957,7,5,,,,0.0035,GA,13259,toss-up
Joe,Biden,Dem,1036,6314,2027,16.0,X,,0.5198,GA,13261,toss-up
Donald,Trump,GOP,8639,5733,851,,,True,0.4719,GA,13261,toss-up
Jo,Jorgensen,Lib,67957,101,19,,,,0.0083,GA,13261,toss-up
Joe,Biden,Dem,1036,2114,1573,16.0,X,,0.6002,GA,13263,toss-up
Donald,Trump,GOP,8639,1392,927,,,True,0.3952,GA,13263,toss-up
Jo,Jorgensen,Lib,67957,16,7,,,,0.0045,GA,13263,toss-up
Joe,Biden,Dem,1036,561,484,16.0,X,,0.6045,GA,13265,toss-up
Donald,Trump,GOP,8639,360,236,,,True,0.3879,GA,13265,toss-up
Jo,Jorgensen,Lib,67957,7,3,,,,0.0075,GA,13265,toss-up
Donald,Trump,GOP,8639,6054,4518,,,True,0.7396,GA,13267,toss-up
Joe,Biden,Dem,1036,2062,1650,16.0,X,,0.2519,GA,13267,toss-up
Jo,Jorgensen,Lib,67957,69,35,,,,0.0084,GA,13267,toss-up
Donald,Trump,GOP,8639,2420,2058,,,True,0.6299,GA,13269,toss-up
Joe,Biden,Dem,1036,1388,1114,16.0,X,,0.3613,GA,13269,toss-up
Jo,Jorgensen,Lib,67957,34,21,,,,0.0088,GA,13269,toss-up
Donald,Trump,GOP,8639,2825,1864,,,True,0.6518,GA,13271,toss-up
Joe,Biden,Dem,1036,1488,1163,16.0,X,,0.3433,GA,13271,toss-up
Jo,Jorgensen,Lib,67957,21,11,,,,0.0048,GA,13271,toss-up
Joe,Biden,Dem,1036,2376,1808,16.0,X,,0.538,GA,13273,toss-up
Donald,Trump,GOP,8639,2004,1339,,,True,0.4538,GA,13273,toss-up
Jo,Jorgensen,Lib,67957,36,21,,,,0.0082,GA,13273,toss-up
Donald,Trump,GOP,8639,12969,10244,,,True,0.5929,GA,13275,toss-up
Joe,Biden,Dem,1036,8708,7232,16.0,X,,0.3981,GA,13275,toss-up
Jo,Jorgensen,Lib,67957,195,130,,,,0.0089,GA,13275,toss-up
Donald,Trump,GOP,8639,10784,8054,,,True,0.6624,GA,13277,toss-up
Joe,Biden,Dem,1036,5318,4192,16.0,X,,0.3267,GA,13277,toss-up
Jo,Jorgensen,Lib,67957,177,121,,,,0.0109,GA,13277,toss-up
Donald,Trump,GOP,8639,7873,6070,,,True,0.7214,GA,13279,toss-up
Joe,Biden,Dem,1036,2938,2365,16.0,X,,0.2692,GA,13279,toss-up
Jo,Jorgensen,Lib,67957,103,54,,,,0.0094,GA,13279,toss-up
Donald,Trump,GOP,8639,6384,5392,,,True,0.8001,GA,13281,toss-up
Joe,Biden,Dem,1036,1550,1431,16.0,X,,0.1943,GA,13281,toss-up
Jo,Jorgensen,Lib,67957,45,28,,,,0.0056,GA,13281,toss-up
Donald,Trump,GOP,8639,2101,1681,,,True,0.6828,GA,13283,toss-up
Joe,Biden,Dem,1036,952,817,16.0,X,,0.3094,GA,13283,toss-up
Jo,Jorgensen,Lib,67957,24,14,,,,0.0078,GA,13283,toss-up
Donald,Trump,GOP,8639,18142,13424,,,True,0.6038,GA,13285,toss-up
Joe,Biden,Dem,1036,11577,8734,16.0,X,,0.3853,GA,13285,toss-up
Jo,Jorgensen,Lib,67957,328,189,,,,0.0109,GA,13285,toss-up
Donald,Trump,GOP,8639,2349,1971,,,True,0.6196,GA,13287,toss-up
Joe,Biden,Dem,1036,1409,1076,16.0,X,,0.3717,GA,13287,toss-up
Jo,Jorgensen,Lib,67957,33,27,,,,0.0087,GA,13287,toss-up
Donald,Trump,GOP,8639,2370,1529,,,True,0.5333,GA,13289,toss-up
Joe,Biden,Dem,1036,2044,1614,16.0,X,,0.4599,GA,13289,toss-up
Jo,Jorgensen,Lib,67957,30,15,,,,0.0068,GA,13289,toss-up
Donald,Trump,GOP,8639,12650,9252,,,True,0.8131,GA,13291,toss-up
Joe,Biden,Dem,1036,2800,2504,16.0,X,,0.18,GA,13291,toss-up
Jo,Jorgensen,Lib,67957,108,60,,,,0.0069,GA,13291,toss-up
Donald,Trump,GOP,8639,8606,7236,,,True,0.6669,GA,13293,toss-up
Joe,Biden,Dem,1036,4203,3557,16.0,X,,0.3257,GA,13293,toss-up
Jo,Jorgensen,Lib,67957,96,68,,,,0.0074,GA,13293,toss-up
Donald,Trump,GOP,8639,23173,17605,,,True,0.7894,GA,13295,toss-up
Joe,Biden,Dem,1036,5770,4774,16.0,X,,0.1966,GA,13295,toss-up
Jo,Jorgensen,Lib,67957,411,249,,,,0.014,GA,13295,toss-up
